LGA,Region,Status,Infrastructure Type,Detail,Source(s)
Barcoo Shire,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Boulia Shire,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Diamantina Shire,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Winton Shire,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Mackay Regional,Mackay-Whitsunday-Isaac,"AI-adjacent (IoT/smart, no AI confirmed) + non-infrastructure AI in use",Water leak detection (IoT); customer service AI (non-infrastructure),"MiWater smart-water leak-detection software (IoT-based, commercialised via Taggle Systems) — not confirmed as AI-decisioning. Separately, council's 2026/27 budget funds LUNA, an AI after-hours digital assistant for call triage — customer service AI, not physical infrastructure control.",Mackay Regional Council media release (Jun 2026); Utility Magazine (2019)
Whitsunday Regional,Mackay-Whitsunday-Isaac,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Isaac Regional,Mackay-Whitsunday-Isaac,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Townsville City,Townsville-North West,Confirmed AI,Water safety monitoring; animal control; planned flood prediction,"$928.2M 2025/26 budget invests in AI and sensor technologies: AI water-monitoring system for aquatic safety planned at Riverway Lagoon, AI-driven animal-control analytics, and planned AI-based flood prediction and emergency response coordination.",Townsville City Council media release (Jun 2025); Public Spectrum (Jun 2025)
Charters Towers Regional,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Burdekin Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Hinchinbrook Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Palm Island Aboriginal Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Flinders Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Richmond Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
McKinlay Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Cloncurry Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Mount Isa City,Townsville-North West,"AI-adjacent (IoT/smart, no AI confirmed)",Water metering,$2.3M advanced metering infrastructure (AMI) smart water meter program for consumption tracking and leak identification. IoT-based; no AI-specific decisioning confirmed.,Jacobs newsroom (2026)
Doomadgee Aboriginal Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Burke Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Carpentaria Shire,Townsville-North West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Cairns Regional,Far North Queensland,"AI-adjacent (IoT/smart, no AI confirmed) + AI governance policy exists",Water metering; AI governance,"Published Council AI General Policy (governance framework, not infrastructure deployment). Smart water meters (Itron OpenWay Riva, 55,000 units) — IoT leak detection; no AI-specific decisioning in physical infrastructure confirmed.",Cairns Regional Council AI General Policy PDF; Itron press release (14 Nov 2017)
Douglas Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Mareeba Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Tablelands Regional,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Cassowary Coast Regional,Far North Queensland,State-deployed AI within LGA (not council-operated),Road safety — wildlife detection,"Department of Transport and Main Roads (state government, not council) trialled an AI-based ""Large Animal Activated Roadside Monitoring and Alert System"" to detect cassowaries near roads and warn drivers, reducing cassowary deaths by over a third. Physically located within the Cassowary Coast LGA but deployed and operated by the state government, not the council.",ABC News (30 Jul 2025)
Cook Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Etheridge Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Croydon Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Yarrabah Aboriginal Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Wujal Wujal Aboriginal Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Hope Vale Aboriginal Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Kowanyama Aboriginal Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Pormpuraaw Aboriginal Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Napranum Aboriginal Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Aurukun Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Mapoon Aboriginal Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Weipa Town Authority,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Torres Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Torres Strait Island Regional,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Northern Peninsula Area Regional,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Lockhart River Aboriginal Shire,Far North Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
